iter	Logloss
289	0.2645256267
290	0.2644638786
291	0.2644320065
292	0.2644172874
293	0.2643670704
294	0.2643401205
295	0.2643340658
296	0.2642965559
297	0.2641976094
298	0.2641755836
299	0.2641560378
300	0.264119963
301	0.2640717132
302	0.2640263146
303	0.263989168
304	0.2639534368
305	0.2638782532
306	0.2638296792
307	0.2637915493
308	0.2637904905
309	0.2637654911
310	0.2637538564
311	0.2636943825
312	0.2636472381
313	0.2636076142
314	0.2635290705
315	0.2635182176
316	0.2634803208
317	0.2634677661
318	0.2634360282
319	0.2634130462
320	0.263371646
321	0.2632870062
322	0.263203785
323	0.2631938578
324	0.2631548291
325	0.2631237313
326	0.2630503297
327	0.2629564702
328	0.2629007888
329	0.2628714916
330	0.2627731537
331	0.2627419033
332	0.262707466
333	0.262698435
334	0.2626501773
335	0.262637213
336	0.262597432
337	0.2625667479
338	0.2625581126
339	0.2625463573
340	0.2625097565
341	0.2624988278
342	0.262492418
343	0.2624634823
344	0.2624192342
345	0.2624023946
346	0.2623498156
347	0.2623365323
348	0.2623150024
349	0.2623031766
350	0.2622675985
351	0.2621831628
352	0.2621765873
353	0.2621601993
354	0.2620891718
355	0.2620495915
356	0.2620052512
357	0.2619681571
358	0.26194026
359	0.2619203692
360	0.2618876002
361	0.2618333307
362	0.261815858
363	0.2617824917
364	0.2617549079
365	0.2617306215
366	0.2617267619
367	0.2617122727
368	0.261664677
369	0.2616498583
370	0.2616200179
371	0.2615633193
372	0.261535445
373	0.2614966028
374	0.2614427216
375	0.2614073281
376	0.2613830093
377	0.2613557767
378	0.2613361256
379	0.2613167606
380	0.2612698925
381	0.261236629
382	0.2612230964
383	0.2612055832
384	0.2611428201
385	0.2611125643
386	0.2610841257
387	0.2610700174
388	0.261037295
389	0.2610095289
390	0.2610008926
391	0.2609534278
392	0.260895347
393	0.2608813973
394	0.2608625182
395	0.2608090466
396	0.2607740533
397	0.2607043109
398	0.2606703963
399	0.26064701
400	0.2606309276
401	0.2605467688
402	0.2605031102
403	0.2604647367
404	0.2604590706
405	0.2604182719
406	0.2604093563
407	0.2603871636
408	0.2603641714
409	0.2603334531
410	0.2603095809
411	0.2602745991
412	0.2602462673
413	0.2601972586
414	0.2601674891
415	0.2601293856
416	0.260064767
417	0.2600475427
418	0.2600142124
419	0.2599831225
420	0.2599401358
421	0.2598959557
422	0.2598369507
423	0.259818318
424	0.2598004318
425	0.2597409368
426	0.2597156269
427	0.2596809234
428	0.2596547632
429	0.2596221446
430	0.2595983615
431	0.2595855638
432	0.2595410621
433	0.2595240411
434	0.2595099306
435	0.2594688539
436	0.2594605526
437	0.2594076477
438	0.2593872614
439	0.2593449006
440	0.2592777732
441	0.2592542224
442	0.2592063332
443	0.2591872662
444	0.2591773302
445	0.259159019
446	0.2591140797
447	0.2590894159
448	0.2590714335
449	0.2590274029
450	0.2590184955
451	0.2589986092
452	0.2589720202
453	0.2589346566
454	0.2588738008
455	0.258841371
456	0.2588170188
457	0.2587817598
458	0.2587524336
459	0.2587367609
460	0.258736024
461	0.2587119815
462	0.2587081154
463	0.2586934557
464	0.2586798023
465	0.2586359882
466	0.2586296354
467	0.2585798041
468	0.2585567653
469	0.2585243185
470	0.2584941359
471	0.2584730685
472	0.2584339065
473	0.2584008882
474	0.2583864561
475	0.2583478687
476	0.2583268794
477	0.2583075515
478	0.2582685266
479	0.2582506644
480	0.2582161235
481	0.2581656592
482	0.2581427395
483	0.2581336338
484	0.2581078667
485	0.2581044913
486	0.2580857519
487	0.2580649023
488	0.2580481089
489	0.2580180117
490	0.2579878905
491	0.2579831642
492	0.257974959
493	0.2579308222
494	0.2578909873
495	0.2578742495
496	0.2578319522
497	0.2578316961
498	0.2578137313
499	0.2577238825
500	0.2577031485
501	0.2576480502
502	0.257607803
503	0.2575791606
504	0.2575476283
505	0.257529414
506	0.2574988366
507	0.2574502205
508	0.2574259613
509	0.2573979786
510	0.2573464113
511	0.2573255259
512	0.2573077722
513	0.2572766028
514	0.2572324359
515	0.257218979
516	0.2571622055
517	0.2571171209
518	0.2570891029
519	0.2570746923
520	0.2570377542
521	0.2570229438
522	0.2569891884
523	0.2569749843
524	0.2569680608
525	0.2569456131
526	0.2569156819
527	0.2568712384
528	0.2568571046
529	0.2568191558
530	0.2568118869
531	0.2567884858
532	0.2567557097
533	0.2567331581
534	0.2566982671
535	0.2566908388
536	0.2566764516
537	0.256664456
538	0.2566414074
539	0.2565558314
540	0.2565350224
541	0.2565205499
542	0.2564713899
543	0.2564197366
544	0.2563947782
545	0.2563802977
546	0.256346355
547	0.2563406069
548	0.2563091347
549	0.2563015557
550	0.2562675089
551	0.2562612334
552	0.2562167132
553	0.2561621325
554	0.2561273944
555	0.2560795626
556	0.2560300074
557	0.2559949643
558	0.2559717359
559	0.2559689445
560	0.2559181134
561	0.2558556338
562	0.2558118261
563	0.2557848825
564	0.2557505728
565	0.2557300207
566	0.2557144584
567	0.2556792963
568	0.2556654793
569	0.2556386767
570	0.2556301251
571	0.255609434
572	0.2555987455
573	0.25557517
574	0.2555506067
575	0.255538702
576	0.2554927748
577	0.2554352594
578	0.2553972791
579	0.2553458042
580	0.2553375375
581	0.255319471
582	0.2552854327
583	0.2552446108
584	0.2552390436
585	0.2552198937
586	0.2551813343
587	0.2551552601
588	0.2551417331
589	0.2551064791
590	0.2550449593
591	0.2550184462
592	0.2549736667
593	0.2549389181
594	0.25491668
595	0.2549060404
596	0.2548930136
597	0.254871623
598	0.2548600589
599	0.2548181642
600	0.2547963853
601	0.2547800126
602	0.254734224
603	0.2546994526
604	0.2546890315
605	0.2546621298
606	0.2546377893
607	0.2546108547
608	0.2545884073
609	0.2545694451
610	0.254539586
611	0.2545316185
612	0.2545068651
613	0.2544970158
614	0.2544837328
615	0.2544646847
616	0.2544608792
617	0.2544189118
618	0.2544073658
619	0.2543808007
620	0.2543539655
621	0.2543198836
622	0.2542668074
623	0.2542197647
624	0.2542168973
625	0.2542067973
626	0.2541713483
627	0.2541404314
628	0.2541078737
629	0.2540701073
630	0.2540560288
631	0.2540179847
632	0.2539808981
633	0.2539390946
634	0.2539160655
635	0.2539134455
636	0.2538727239
637	0.2538567603
638	0.2538102538
639	0.2537781714
640	0.2537447762
641	0.2537032084
642	0.2536225763
643	0.2535985805
644	0.2535160268
645	0.2534868123
646	0.253420083
647	0.2533811795
648	0.2533468237
649	0.2533016996
650	0.2532640026
651	0.2532201381
652	0.2531927886
653	0.2531533225
654	0.2531198401
655	0.2530994934
656	0.2530609971
657	0.253051931
658	0.2530179634
659	0.2529996214
660	0.2529585009
661	0.2529168893
662	0.2528814037
663	0.2528341216
664	0.2528171718
665	0.2527771881
666	0.2527570151
667	0.2527026908
668	0.2526602339
669	0.252628648
670	0.2526243673
671	0.2525888434
672	0.2525235624
673	0.2525094982
674	0.2524873597
675	0.2524712062
676	0.252445547
677	0.2524006342
678	0.2523676271
679	0.2523414501
680	0.2522885915
681	0.2522213933
682	0.2522001336
683	0.2521716647
684	0.2521213636
685	0.2520936932
686	0.2520688667
687	0.2520638641
688	0.2520388968
689	0.252003293
690	0.2519488415
691	0.2519312649
692	0.2519054903
693	0.2518501691
694	0.2517972954
695	0.2517697401
696	0.2517291096
697	0.2517006796
698	0.2516648426
699	0.2516407077
700	0.251621869
701	0.2516012874
702	0.2515940705
703	0.2515689379
704	0.2515437774
705	0.251514755
706	0.2514940312
707	0.2514666625
708	0.2514407817
709	0.2514259256
710	0.2514090523
711	0.251377656
712	0.2513652585
713	0.2513282118
714	0.2512793452
715	0.2512564975
716	0.2512171015
717	0.2511951017
718	0.2511516749
719	0.2511217069
720	0.2510773064
721	0.2510695416
722	0.2510376065
723	0.2510033715
724	0.2509535257
725	0.2509479613
726	0.2509152851
727	0.2508921644
728	0.2508303468
729	0.2508060582
730	0.2507848541
731	0.2507684264
732	0.2507304382
733	0.2507200023
734	0.2507131308
735	0.250667788
736	0.2506454801
737	0.2505993561
738	0.250568475
739	0.2505486993
740	0.2505065405
741	0.2504964222
742	0.2504474343
743	0.2504341102
744	0.2504282106
745	0.2503783215
746	0.2503713919
747	0.2503405686
748	0.2503262579
749	0.2503007604
750	0.2502787079
751	0.2502456394
752	0.2502059189
753	0.2501886087
754	0.2501801293
755	0.2501620777
756	0.2501256627
757	0.2500978924
758	0.250093018
759	0.2500619254
760	0.2500433099
761	0.2500098462
762	0.2499900005
763	0.2499861936
764	0.2499344605
765	0.2499004285
766	0.2498740333
767	0.2498584408
768	0.2498523446
769	0.2498318566
770	0.2497957429
771	0.249759988
772	0.2497399938
773	0.2496908377
774	0.2496783886
775	0.2496532323
776	0.249645822
777	0.2496033753
778	0.2495749674
779	0.2495401778
780	0.2495105294
781	0.2494845402
782	0.2494665831
783	0.2494465798
784	0.2493990879
785	0.249362424
786	0.2493343567
787	0.2493247463
788	0.2493072911
789	0.2492586458
790	0.249224405
791	0.2492059079
792	0.2491840317
793	0.2491495153
794	0.2491255143
795	0.2490592549
796	0.2490278703
797	0.249014692
798	0.2489720535
799	0.2489585986
800	0.2489324771
801	0.2488809909
802	0.248843931
803	0.2488086913
804	0.2487983824
805	0.2487763997
806	0.2487487619
807	0.2487281564
808	0.2487144604
809	0.2487052753
810	0.2486852086
811	0.24861075
812	0.2486019938
813	0.2485547698
814	0.2484852158
815	0.2484740311
816	0.2484378339
817	0.2484182813
818	0.2483625265
819	0.2483517064
820	0.248320962
821	0.2482880222
822	0.2482634871
823	0.2482586812
824	0.2482428829
825	0.2482293293
826	0.2482010704
827	0.2481399243
828	0.2481187697
829	0.248060517
830	0.248050023
831	0.2480185167
832	0.2479973292
833	0.2479910841
834	0.2479751513
835	0.2479291199
836	0.2479247319
837	0.2479074148
838	0.2478696501
839	0.2478141154
840	0.2477623371
841	0.2477301758
842	0.2477150364
843	0.2476886859
844	0.2476801906
845	0.2476586031
846	0.2476069206
847	0.2475692848
848	0.2475257404
849	0.2475015009
850	0.2474893217
851	0.2474827632
852	0.2474714787
853	0.2474350005
854	0.2474145725
855	0.2473883019
856	0.2473738991
857	0.2473586426
858	0.2473326595
859	0.2473219688
860	0.2472959596
861	0.2472841155
862	0.2472538324
863	0.2472241479
864	0.2472100288
865	0.2471610499
866	0.2471428272
867	0.2471256507
868	0.2470583532
869	0.2470404324
870	0.2470047764
871	0.2469819677
872	0.2469337065
873	0.2469163702
874	0.2468738414
875	0.2468545525
876	0.2468238796
877	0.2467747232
878	0.2466885333
879	0.2466717957
880	0.2466417924
881	0.2466222616
882	0.2466203904
883	0.2466123102
884	0.2465845857
885	0.2465383447
886	0.2465214059
887	0.2465103104
888	0.2464465018
889	0.2464095752
890	0.2463523902
891	0.2463417993
892	0.2462697869
893	0.2462305211
894	0.2462018189
895	0.2461804513
896	0.2461358203
897	0.246104118
898	0.2460977611
899	0.2460721993
900	0.2460432976
901	0.2460179368
902	0.2460025218
903	0.2459830018
904	0.2459439287
905	0.2458973221
906	0.2458927947
907	0.2458865304
908	0.2458635913
909	0.2458518105
910	0.2458335466
911	0.2458083156
912	0.2457730593
913	0.2457622526
914	0.2457353932
915	0.245710564
916	0.2456534398
917	0.2456258393
918	0.2455875567
919	0.2455433163
920	0.2454922678
921	0.2454816342
922	0.2454699294
923	0.2454468484
924	0.2454407868
925	0.2454126659
926	0.2453568706
927	0.245352389
928	0.2453409063
929	0.2453218139
930	0.2452944221
931	0.2452849133
932	0.2452746088
933	0.2452402555
934	0.2452170217
935	0.2451966077
936	0.2451527354
937	0.2451434357
938	0.2451200458
939	0.2450851853
940	0.2450369271
941	0.2450092751
942	0.244989134
943	0.2449663831
944	0.2449646846
945	0.2449172014
946	0.2448982087
947	0.2448714224
948	0.2448455058
949	0.2448318664
950	0.244810288
951	0.2447814196
952	0.2447446677
953	0.2447154047
954	0.2446953806
955	0.244681844
956	0.2446503763
957	0.2446247207
958	0.2445960735
959	0.244524529
960	0.2445045817
961	0.2444978764
962	0.2444566022
963	0.2444201413
964	0.2443832876
965	0.2443486009
966	0.2443300244
967	0.244265213
968	0.2442427339
969	0.2442201944
970	0.2441892747
971	0.2441765427
972	0.2441427486
973	0.2441229337
974	0.2441020658
975	0.2440615552
976	0.2440124377
977	0.2439855788
978	0.2439259613
979	0.2438993451
980	0.2438939044
981	0.2438839541
982	0.243857467
983	0.2438401249
984	0.243815741
985	0.2438117588
986	0.2437943653
987	0.2437692334
988	0.2437473816
989	0.2437125446
990	0.2436943369
991	0.2436792069
992	0.2436517294
993	0.2436194787
994	0.2435739848
995	0.243557223
996	0.2435144716
997	0.2435051501
998	0.2434665859
999	0.2434298065
