iter	Passed	Remaining
717	71650	28141
718	71764	28047
719	71864	27947
720	71979	27853
721	72083	27755
722	72205	27663
723	72314	27567
724	72429	27473
725	72532	27374
726	72638	27277
727	72748	27180
728	72881	27093
729	72979	26992
730	73094	26897
731	73200	26800
732	73319	26706
733	73422	26607
734	73525	26509
735	73680	26428
736	73810	26339
737	73926	26245
738	74028	26145
739	74126	26044
740	74222	25942
741	74333	25846
742	74447	25750
743	74553	25652
744	74657	25553
745	74763	25455
746	74864	25355
747	74970	25257
748	75070	25157
749	75205	25068
750	75316	24971
751	75442	24879
752	75553	24783
753	75652	24682
754	75744	24579
755	75852	24481
756	75973	24387
757	76089	24292
758	76251	24211
759	76361	24114
760	76461	24013
761	76568	23914
762	76688	23820
763	76828	23732
764	76990	23650
765	77116	23557
766	77227	23460
767	77374	23373
768	77482	23274
769	77598	23178
770	77735	23088
771	77855	22993
772	77963	22894
773	78069	22795
774	78211	22706
775	78334	22612
776	78440	22512
777	78576	22421
778	78702	22327
779	78850	22239
780	78974	22145
781	79101	22051
782	79233	21958
783	79423	21882
784	79556	21789
785	79685	21695
786	79824	21604
787	80124	21556
788	80253	21461
789	80414	21376
790	80567	21287
791	80714	21197
792	80851	21104
793	81007	21016
794	81141	20923
795	81329	20843
796	81455	20747
797	81584	20651
798	81716	20557
799	81850	20462
800	81995	20370
801	82133	20277
802	82310	20193
803	82448	20099
804	82655	20022
805	82780	19924
806	82932	19833
807	83066	19738
808	83187	19640
809	83385	19559
810	83567	19475
811	83746	19389
812	83899	19297
813	84044	19204
814	84211	19115
815	84396	19030
816	84623	18954
817	84777	18862
818	85039	18793
819	85247	18712
820	85407	18621
821	85601	18536
822	85830	18459
823	86072	18384
824	86267	18299
825	86437	18208
826	86607	18117
827	86807	18032
828	87014	17948
829	87178	17855
830	87335	17761
831	87487	17665
832	87683	17578
833	87854	17486
834	88094	17407
835	88321	17326
836	88480	17230
837	88641	17135
838	88829	17045
839	88984	16949
840	89165	16857
841	89326	16762
842	89456	16660
843	89593	16559
844	89761	16465
845	89903	16365
846	90049	16266
847	90215	16170
848	90361	16071
849	90507	15971
850	90687	15878
851	90859	15783
852	91002	15682
853	91161	15584
854	91318	15486
855	91450	15384
856	91563	15278
857	91689	15174
858	91795	15067
859	91916	14963
860	92037	14858
861	92156	14753
862	92305	14653
863	92442	14551
864	92579	14448
865	92714	14346
866	92860	14245
867	93013	14144
868	93167	14044
869	93277	13937
870	93448	13840
871	93605	13740
872	93754	13638
873	93878	13533
874	94039	13434
875	94154	13327
876	94284	13223
877	94417	13119
878	94561	13016
879	94703	12914
880	94843	12810
881	94974	12706
882	95116	12603
883	95317	12507
884	95477	12406
885	95657	12308
886	95817	12206
887	95955	12102
888	96103	11999
889	96245	11895
890	96368	11789
891	96532	11687
892	96694	11586
893	96858	11484
894	96997	11379
895	97150	11276
896	97292	11171
897	97444	11068
898	97611	10966
899	97812	10868
900	97964	10764
901	98197	10668
902	98382	10568
903	98540	10464
904	98701	10360
905	98867	10257
906	99061	10157
907	99201	10051
908	99342	9945
909	99504	9841
910	99669	9737
911	99819	9631
912	100016	9530
913	100169	9425
914	100305	9317
915	100458	9212
916	100699	9114
917	100875	9010
918	101039	8905
919	101168	8797
920	101328	8691
921	101470	8584
922	101613	8476
923	101753	8369
924	101873	8260
925	102000	8151
926	102138	8043
927	102288	7936
928	102416	7827
929	102579	7721
930	102771	7616
931	102912	7508
932	103075	7402
933	103233	7294
934	103369	7186
935	103542	7079
936	103715	6973
937	103870	6865
938	104025	6757
939	104169	6649
940	104315	6540
941	104465	6432
942	104610	6323
943	104752	6214
944	104906	6105
945	105069	5997
946	105212	5888
947	105392	5781
948	105591	5674
949	105816	5569
950	106014	5462
951	106218	5355
952	106413	5248
953	106582	5139
954	106743	5029
955	106915	4920
956	107071	4810
957	107229	4701
958	107416	4592
959	107568	4482
960	107726	4371
961	107880	4261
962	108043	4151
963	108181	4039
964	108311	3928
965	108456	3817
966	108647	3707
967	108793	3596
968	108937	3485
969	109079	3373
970	109241	3262
971	109362	3150
972	109523	3039
973	109687	2928
974	109830	2816
975	109973	2704
976	110144	2592
977	110296	2481
978	110425	2368
979	110536	2255
980	110673	2143
981	110811	2031
982	110979	1919
983	111113	1806
984	111258	1694
985	111423	1582
986	111576	1469
987	111702	1356
988	111826	1243
989	111979	1131
990	112110	1018
991	112243	905
992	112374	792
993	112529	679
994	112671	566
995	112816	453
996	112974	339
997	113153	226
998	113295	113
999	113437	0
